country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA","30-11-2025 23:00:00",26.181742,91.78063,SO2,NA,NA,NA
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA","30-11-2025 23:00:00",26.349082,92.68449,PM10,NA,NA,NA
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA","30-11-2025 23:00:00",26.349082,92.68449,OZONE,NA,NA,NA
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA","30-11-2025 23:00:00",26.446912,91.439057,PM10,41,237,108
India,Assam,Silchar,"Tarapur, Silchar - PCBA","30-11-2025 23:00:00",24.82827,92.79525,PM2.5,43,97,60
India,Assam,Silchar,"Tarapur, Silchar - PCBA","30-11-2025 23:00:00",24.82827,92.79525,NH3,1,1,1
India,Assam,Silchar,"Tarapur, Silchar - PCBA","30-11-2025 23:00:00",24.82827,92.79525,CO,16,52,24
India,Bihar,"Bihar Sharif","D M Colony, Bihar Sharif - BSPCB","30-11-2025 23:00:00",25.204762,85.514960,NO2,9,10,9
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB","30-11-2025 23:00:00",25.567520,83.966379,PM2.5,68,157,112
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB","30-11-2025 23:00:00",25.567520,83.966379,CO,22,26,25
India,Bihar,Gaya,"Collectorate, Gaya - BSPCB","30-11-2025 23:00:00",24.7955,84.9994,SO2,6,27,13
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA","30-11-2025 23:00:00",26.987634,94.636574,OZONE,4,92,90
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB","30-11-2025 23:00:00",26.146529,87.454184,NO2,3,40,12
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB","30-11-2025 23:00:00",25.265194,87.012947,NH3,7,18,13
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB","30-11-2025 23:00:00",25.265194,87.012947,SO2,4,87,58
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB","30-11-2025 23:00:00",25.265194,87.012947,OZONE,16,95,41
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA","30-11-2025 23:00:00",26.071318,91.87488,PM10,72,102,85
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB","30-11-2025 23:00:00",27.103358,93.679645,PM10,39,198,108
India,Assam,Silchar,"Tarapur, Silchar - PCBA","30-11-2025 23:00:00",24.82827,92.79525,OZONE,1,3,1
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB","30-11-2025 23:00:00",24.792403,84.992416,NH3,5,6,5
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB","30-11-2025 23:00:00",24.792403,84.992416,CO,37,43,42
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB","30-11-2025 23:00:00",24.762518,84.982348,PM10,34,62,47
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","30-11-2025 23:00:00",25.697189,85.245900,PM2.5,90,309,152
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","30-11-2025 23:00:00",26.11442,85.39813,PM2.5,93,261,167
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","30-11-2025 23:00:00",26.11442,85.39813,PM10,71,126,99
India,Bihar,Munger,"Town Hall, Munger - BSPCB","30-11-2025 23:00:00",25.376776,86.471523,PM2.5,70,374,141
India,Bihar,Munger,"Town Hall, Munger - BSPCB","30-11-2025 23:00:00",25.376776,86.471523,PM10,71,319,116
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB","30-11-2025 23:00:00",26.0881305,87.93840336,OZONE,15,18,16
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB","30-11-2025 23:00:00",26.0881305,87.93840336,NO2,10,14,11
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","30-11-2025 23:00:00",25.697189,85.245900,OZONE,7,164,56
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB","30-11-2025 23:00:00",25.560083,87.553265,OZONE,4,9,6
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB","30-11-2025 23:00:00",26.63086,84.90051,NH3,3,3,3
India,Bihar,Munger,"Town Hall, Munger - BSPCB","30-11-2025 23:00:00",25.376776,86.471523,SO2,NA,NA,NA
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB","30-11-2025 23:00:00",25.599486,85.113666,NH3,2,10,8
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB","30-11-2025 23:00:00",25.599486,85.113666,SO2,6,8,7
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB","30-11-2025 23:00:00",25.599486,85.113666,OZONE,23,27,26
India,Bihar,Patna,"Samanpura, Patna - BSPCB","30-11-2025 23:00:00",25.596727,85.085624,NO2,20,21,20
India,Bihar,Patna,"Samanpura, Patna - BSPCB","30-11-2025 23:00:00",25.596727,85.085624,SO2,2,3,2
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB","30-11-2025 23:00:00",25.366336,87.117468,CO,55,91,60
India,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB","30-11-2025 23:00:00",25.03280,85.41948,PM2.5,43,143,79
